SMILES,NAME,COMPOUND_ID,LIBRARY,Name
N1C(=O)c2cccc3c(ccc1c23)S(=O)(=O)Nc(c4)c(C)cc(c45)oc(C(C)(C)C)c5C(=O)OC,Untitled_Molecule_219776,UNC10000094A,100K Diversity Set,
c1cc(OC)ccc1-c(cs2)nc2N/N=C3\NCCCCC3,Untitled_Molecule_219777,UNC10000095A,100K Diversity Set,
c1cc(Br)ccc1C(=O)NC(C)c2ccc(cc2)-c3ccccc3,Untitled_Molecule_219778,UNC10000096A,100K Diversity Set,
c1ccccc1\C=C\S(=O)(=O)Nc2cc(ccc2)\C=C\C(=O)O,Untitled_Molecule_219779,UNC10000097A,100K Diversity Set,
C1CCCc(c12)sc(c2C#N)NC(=O)/C=C/c3ccccc3,Untitled_Molecule_219780,UNC10000098A,100K Diversity Set,
c1cc(C)ccc1Nc([n+]2CC=C)scc2-c3ccc(cc3)OC,Untitled_Molecule_219781,UNC10000099A,100K Diversity Set,
c1cccc(c1[N+]([O-])=O)N/N=C/c2c(O)c(Br)cc(Br)c2,Untitled_Molecule_219782,UNC10000100A,100K Diversity Set,
c1ccccc1[P+](/C(C#N)=C([O-])/NC(=O)C)(c2ccccc2)c3ccccc3,Untitled_Molecule_219783,UNC10000101A,100K Diversity Set,
c1cccc(c12)nc(n2CC(=O)O)P(=O)(O)c3ccccc3,Untitled_Molecule_219784,UNC10000102A,100K Diversity Set,
c1cc(C)sc1C(=O)/C=C/c2ccc(cc2)OC,Untitled_Molecule_219785,UNC10000103A,100K Diversity Set,
c1cccc(c12)CCC(\C2=O)=C/c3ccc(C)cc3,Untitled_Molecule_219786,UNC10000104A,100K Diversity Set,
